Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences
pldA,,Phospholipase A1,408,408
rpoE,,ECF RNA polymerase sigma-E factor,408,408
folB,,Dihydroneopterin aldolase,408,408
yfgJ,,putative protein YfgJ,408,408
group_15458,,hypothetical protein,408,408
rpsE,,30S ribosomal protein S5,408,408
mdfA,,Multidrug transporter MdfA,408,408
lipB,,Octanoyltransferase,408,408
queD_1,,"6-carboxy-5,6,7,8-tetrahydropterin synthase",408,408
birA,,Bifunctional ligase/repressor BirA,408,408
group_15464,,hypothetical protein,408,408
nadE,,NH(3)-dependent NAD(+) synthetase,408,408
hha,,Hemolysin expression-modulating protein Hha,408,408
napF,,Ferredoxin-type protein NapF,408,408
yebV,,putative protein YebV,408,408
narI,,Respiratory nitrate reductase 1 gamma chain,408,408
osmC,,Peroxiredoxin OsmC,408,408
group_15471,,hypothetical protein,408,408
accB,,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,408,408
grxD,,Glutaredoxin 4,408,408
rplP,,50S ribosomal protein L16,408,408
group_15482,,hypothetical protein,408,408
lpp,,Major outer membrane prolipoprotein Lpp,408,408
mlaE,,Intermembrane phospholipid transport system permease protein MlaE,408,408
yibL,,putative protein YibL,408,408
tnaA,,Tryptophanase,408,408
rpsI,,30S ribosomal protein S9,408,408
group_15488,,hypothetical protein,408,408
trmD,,tRNA (guanine-N(1)-)-methyltransferase,408,408
rplC,,50S ribosomal protein L3,408,408
rplB,,50S ribosomal protein L2,408,408
cmoA,,Carboxy-S-adenosyl-L-methionine synthase,408,408
group_15505,,hypothetical protein,408,408
iscU,,Iron-sulfur cluster assembly scaffold protein IscU,408,408
rpoZ,,DNA-directed RNA polymerase subunit omega,408,408
gltK,,Glutamate/aspartate import permease protein GltK,408,408
rpsL,,30S ribosomal protein S12,408,408
rplE,,50S ribosomal protein L5,408,408
ybiS,,"putative L,D-transpeptidase YbiS",408,408
groS,,10 kDa chaperonin,408,408
yecN,,Inner membrane protein YecN,408,408
group_15514,,hypothetical protein,408,408
ruvC,,Crossover junction endodeoxyribonuclease RuvC,408,408
frdC,,Fumarate reductase subunit C,408,408
btuR,,Corrinoid adenosyltransferase,408,408
higB,,Endoribonuclease HigB,408,408
group_15525,,hypothetical protein,408,408
nirD,,Nitrite reductase (NADH) small subunit,408,408
gloA,,Lactoylglutathione lyase,408,408
rsfS,,Ribosomal silencing factor RsfS,408,408
eutK,,Ethanolamine utilization protein EutK,408,408
tolQ,,Tol-Pal system protein TolQ,408,408
pgpC,,Phosphatidylglycerophosphatase C,408,408
rmf,,Ribosome modulation factor,408,408
rpsO,,30S ribosomal protein S15,408,408
tusA,,Sulfur carrier protein TusA,408,408
group_15541,,hypothetical protein,408,408
atpD,,ATP synthase subunit beta,408,408
hokE_1,,Toxic protein HokE,408,408
mobB,,Molybdopterin-guanine dinucleotide biosynthesis adapter protein,408,408
eno,,Enolase,408,408
trg_2,,Methyl-accepting chemotaxis protein III,408,408
ubiA,,4-hydroxybenzoate octaprenyltransferase,408,408
hisM,,Histidine transport system permease protein HisM,408,408
hscB,,Co-chaperone protein HscB,408,408
group_15556,,hypothetical protein,408,408
group_15557,,hypothetical protein,408,408
mgtS,,Small protein MgtS,408,408
tdcF,,Putative reactive intermediate deaminase TdcF,408,408
uhpC,,Membrane sensor protein UhpC,408,408
rpmF,,50S ribosomal protein L32,408,408
wecD,,dTDP-fucosamine acetyltransferase,408,408
frdB,,Fumarate reductase iron-sulfur subunit,408,408
group_15570,,hypothetical protein,408,408
rplW,,50S ribosomal protein L23,408,408
group_15572,,hypothetical protein,408,408
group_15573,,hypothetical protein,408,408
recO,,DNA repair protein RecO,408,408
trxA,,Thioredoxin 1,408,408
kbp,,Potassium binding protein Kbp,408,408
fryB_2,,PTS system fructose-like EIIB component 1,408,408
rsmI_2,,Ribosomal RNA small subunit methyltransferase I,408,408
rcnR,,Transcriptional repressor RcnR,408,408
fldA,,Flavodoxin 1,408,408
ibaG,,Acid stress protein IbaG,408,408
group_15582,,hypothetical protein,408,408
ycdZ,,Inner membrane protein YcdZ,408,408
fadR,,Fatty acid metabolism regulator protein,408,408
cysW,,Sulfate transport system permease protein CysW,408,408
fldB,,Flavodoxin 2,408,408
ypeA,,Acetyltransferase YpeA,408,408
mlaF,,Intermembrane phospholipid transport system ATP-binding protein MlaF,408,408
ruvA,,Holliday junction ATP-dependent DNA helicase RuvA,408,408
nuoI,,NADH-quinone oxidoreductase subunit I,408,408
rplN,,50S ribosomal protein L14,408,408
ycgL,,Protein YcgL,408,408
uspD,,Universal stress protein D,408,408
zapA,,Cell division protein ZapA,408,408
rpmG,,50S ribosomal protein L33,408,408
ridA,,2-iminobutanoate/2-iminopropanoate deaminase,408,408
rpmE,,50S ribosomal protein L31,408,408
rpoA,,DNA-directed RNA polymerase subunit alpha,408,408
rcnB,,Nickel/cobalt homeostasis protein RcnB,408,408
prfB,,Peptide chain release factor RF2,408,408
group_15604,,hypothetical protein,408,408
group_15605,,hypothetical protein,408,408
yecS,,L-cystine transport system permease protein YecS,408,408
dps,,DNA protection during starvation protein,408,408
ybaN,,Inner membrane protein YbaN,408,408
recR,,Recombination protein RecR,408,408
fdhF_2,,Formate dehydrogenase H,408,408
lacC,,Tagatose-6-phosphate kinase,408,408
era_1,,GTPase Era,408,408
ddlA,,D-alanine--D-alanine ligase A,408,408
rbfA,,30S ribosome-binding factor,408,408
group_15615,,hypothetical protein,408,408
sspB,,Stringent starvation protein B,408,408
pcm,,Protein-L-isoaspartate O-methyltransferase,408,408
mazE,,Antitoxin MazE,408,408
fbp,,"Fructose-1,6-bisphosphatase class 1",408,408
infA,,Translation initiation factor IF-1,408,408
group_15627,,hypothetical protein,408,408
group_15628,,hypothetical protein,408,408
group_15629,,putative acyl-CoA thioester hydrolase,408,408
hns_1,,DNA-binding protein H-NS,408,408
rplK,,50S ribosomal protein L11,408,408
cspE,,Cold shock-like protein CspE,408,408
nanR_1,,HTH-type transcriptional repressor NanR,408,408
trxC,,Thioredoxin 2,408,408
secE,,Protein translocase subunit SecE,408,408
ybcJ,,putative protein YbcJ,408,408
iscA,,Iron-binding protein IscA,408,408
group_15644,,hypothetical protein,408,408
tdh_2,,L-threonine 3-dehydrogenase,408,408
group_15646,,hypothetical protein,408,408
oppF_1,,Oligopeptide transport ATP-binding protein OppF,408,408
napD,,Chaperone NapD,408,408
group_15649,,hypothetical protein,408,408
fdoG_2,,Formate dehydrogenase-O major subunit,408,408
rpsS,,30S ribosomal protein S19,408,408
group_15652,,hypothetical protein,408,408
acpS,,Holo-[acyl-carrier-protein] synthase,408,408
ybjM,,Inner membrane protein YbjM,408,408
group_15667,,hypothetical protein,408,408
yfcE,,Phosphodiesterase YfcE,408,408
selB,,Selenocysteine-specific elongation factor,408,408
iscR,,HTH-type transcriptional regulator IscR,408,408
ulaF,,L-ribulose-5-phosphate 4-epimerase UlaF,408,408
glnL,,Sensory histidine kinase/phosphatase NtrB,408,408
recN,,DNA repair protein RecN,408,408
ygeX,,Diaminopropionate ammonia-lyase,408,408
minC,,Septum site-determining protein MinC,408,408
wecF,,TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase,408,408
katG,,Catalase-peroxidase,408,408
nfo,,Endonuclease 4,408,408
ypdB,,Transcriptional regulatory protein YpdB,408,408
group_15683,,hypothetical protein,408,408
tig,,Trigger factor,408,408
flhB,,Flagellar biosynthetic protein FlhB,408,408
parC,,DNA topoisomerase 4 subunit A,408,408
ynhG,,"putative L,D-transpeptidase YnhG",408,408
bamB,,Outer membrane protein assembly factor BamB,408,408
rbsC_4,,Ribose import permease protein RbsC,408,408
metB,,Cystathionine gamma-synthase,408,408
ptrB,,Protease 2,408,408
purL,,Phosphoribosylformylglycinamidine synthase,408,408
higB-1,,Toxin HigB-1,408,408
add,,Adenosine deaminase,408,408
selA,,L-seryl-tRNA(Sec) selenium transferase,408,408
tdcE,,PFL-like enzyme TdcE,408,408
yusV,,putative siderophore transport system ATP-binding protein YusV,408,408
bioB,,Biotin synthase,408,408
dgoA_2,,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,408,408
ybiR,,Inner membrane protein YbiR,408,408
tdcD,,Propionate kinase,408,408
prc,,Tail-specific protease,408,408
argH,,Argininosuccinate lyase,408,408
group_15707,,hypothetical protein,408,408
ybjP,,putative lipoprotein YbjP,408,408
serC,,Phosphoserine aminotransferase,408,408
gmhA,,Phosphoheptose isomerase,408,408
rhmD,,L-rhamnonate dehydratase,408,408
rbsB_1,,Ribose import binding protein RbsB,408,408
fucU,,L-fucose mutarotase,408,408
pyrB,,Aspartate carbamoyltransferase catalytic subunit,408,408
lepB,,Signal peptidase I,408,408
glyS,,Glycine--tRNA ligase beta subunit,408,408
group_15717,,hypothetical protein,408,408
yigZ,,IMPACT family member YigZ,408,408
ffh,,Signal recognition particle protein,408,408
aat,,Leucyl/phenylalanyl-tRNA--protein transferase,408,408
hslJ,,Heat shock protein HslJ,408,408
rpoN,,RNA polymerase sigma-54 factor,408,408
araJ,,Putative transporter AraJ,408,408
purM,,Phosphoribosylformylglycinamidine cyclo-ligase,408,408
corA,,Magnesium transport protein CorA,408,408
nagD,,Ribonucleotide monophosphatase NagD,408,408
pspB_2,,Putative phosphoserine phosphatase 2,408,409
ssb,,Single-stranded DNA-binding protein,408,408
ulaA_1,,Ascorbate-specific PTS system EIIC component,408,408
purH,,Bifunctional purine biosynthesis protein PurH,408,408
ybjN,,putative protein YbjN,408,408
yiaX1,,putative protein YiaX1,408,408
yebS,,Intermembrane transport protein YebS,408,408
coaD,,Phosphopantetheine adenylyltransferase,408,408
matP,,Macrodomain Ter protein,408,408
hslV,,ATP-dependent protease subunit HslV,408,408
rng,,Ribonuclease G,408,408
phoH,,Protein PhoH,408,408
glnS,,Glutamine--tRNA ligase,408,408
mdtK,,Multidrug resistance protein MdtK,408,408
ribC,,Riboflavin synthase,408,408
group_15759,,hypothetical protein,408,408
group_15760,,hypothetical protein,408,408
group_15761,,hypothetical protein,408,408
group_15762,,hypothetical protein,408,408
rpoD,,RNA polymerase sigma factor RpoD,408,408
mgsA,,Methylglyoxal synthase,408,408
atpH,,ATP synthase subunit delta,408,408
aaeA_2,,p-hydroxybenzoic acid efflux pump subunit AaeA,408,408
fusA,,Elongation factor G,408,408
guaB,,Inosine-5'-monophosphate dehydrogenase,408,408
yebC,,putative transcriptional regulatory protein YebC,408,408
nagE,,PTS system N-acetylglucosamine-specific EIICBA component,408,408
group_15771,,hypothetical protein,408,408
sdhA,,Succinate dehydrogenase flavoprotein subunit,408,408
gltA,,Citrate synthase,408,408
mnmA,,tRNA-specific 2-thiouridylase MnmA,408,408
lnt,,Apolipoprotein N-acyltransferase,408,408
mltA,,Membrane-bound lytic murein transglycosylase A,408,408
fdnG_2,,"Formate dehydrogenase, nitrate-inducible, major subunit",408,408
cusB,,Cation efflux system protein CusB,408,408
mutH,,DNA mismatch repair protein MutH,408,408
mtr,,Tryptophan-specific transport protein,408,408
crr,,PTS system glucose-specific EIIA component,408,408
wzyE,,putative ECA polymerase,408,408
proB,,Glutamate 5-kinase,408,408
group_15790,,hypothetical protein,408,408
ribD,,Riboflavin biosynthesis protein RibD,408,408
rraB,,Regulator of ribonuclease activity B,408,408
groL,,60 kDa chaperonin,408,408
lpxB,,Lipid-A-disaccharide synthase,408,409
prmA,,Ribosomal protein L11 methyltransferase,408,408
hcaR_2,,Hca operon transcriptional activator HcaR,408,408
bcp,,Peroxiredoxin Bcp,408,408
rodZ,,Cytoskeleton protein RodZ,408,408
msrP,,Protein-methionine-sulfoxide reductase catalytic subunit MsrP,408,408
cbpM,,Chaperone modulatory protein CbpM,408,408
group_15806,,hypothetical protein,408,408
pliG,,Inhibitor of g-type lysozyme,408,408
nuoB,,NADH-quinone oxidoreductase subunit B,408,408
mfd,,Transcription-repair-coupling factor,408,408
ybbJ,,Inner membrane protein YbbJ,408,408
group_15817,,hypothetical protein,408,408
yfbR,,5'-deoxynucleotidase YfbR,408,408
btuD_1,,Vitamin B12 import ATP-binding protein BtuD,408,408
recF,,DNA replication and repair protein RecF,408,408
appC,,Cytochrome bd-II ubiquinol oxidase subunit 1,408,408
fabI,,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,408,408
clsB,,Cardiolipin synthase B,408,408
hscA,,Chaperone protein HscA,408,408
dnaK_2,,Chaperone protein DnaK,408,409
xthA,,Exodeoxyribonuclease III,408,408
dnaJ,,Chaperone protein DnaJ,408,409
cmoM,,tRNA 5-carboxymethoxyuridine methyltransferase,408,408
tolC,,Outer membrane protein TolC,408,408
yddG,,Aromatic amino acid exporter YddG,408,408
truB,,tRNA pseudouridine synthase B,408,408
nudF,,ADP-ribose pyrophosphatase,408,408
mpl,,"UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase",408,408
purK,,N5-carboxyaminoimidazole ribonucleotide synthase,408,408
aroP,,Aromatic amino acid transport protein AroP,408,409
mlaD,,Intermembrane phospholipid transport system binding protein MlaD,408,408
gpr,,L-glyceraldehyde 3-phosphate reductase,408,408
glnQ_2,,Glutamine transport ATP-binding protein GlnQ,408,408
dnaG,,DNA primase,408,408
ftsH,,ATP-dependent zinc metalloprotease FtsH,408,408
allR,,HTH-type transcriptional repressor AllR,408,408
ucpA,,Oxidoreductase UcpA,408,408
xerD,,Tyrosine recombinase XerD,408,408
rimM,,Ribosome maturation factor RimM,408,408
bsmA,,Lipoprotein BsmA,408,408
murD,,UDP-N-acetylmuramoylalanine--D-glutamate ligase,408,409
mreC,,Cell shape-determining protein MreC,408,408
dppB_1,,Dipeptide transport system permease protein DppB,408,408
sapF,,Putrescine export system ATP-binding protein SapF,408,408
tdcC,,Threonine/serine transporter TdcC,408,408
gph,,Phosphoglycolate phosphatase,408,408
dlgD,,"2,3-diketo-L-gulonate reductase",408,408
hisP,,Histidine transport ATP-binding protein HisP,408,408
htpG,,Chaperone protein HtpG,408,408
putP,,Sodium/proline symporter,408,408
fdnI,,"Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit",408,408
fabG_3,,3-oxoacyl-[acyl-carrier-protein] reductase FabG,408,408
yjbR,,putative protein YjbR,408,408
mutS2,,Endonuclease MutS2,408,408
hcr,,NADH oxidoreductase HCR,408,408
gcvT,,Aminomethyltransferase,408,408
murJ,,Lipid II flippase MurJ,408,408
rsgA,,Small ribosomal subunit biogenesis GTPase RsgA,408,408
recA,,Protein RecA,408,408
pgl,,6-phosphogluconolactonase,408,408
hemE,,Uroporphyrinogen decarboxylase,408,408
yadK,,putative fimbrial-like protein YadK,408,409
proA_2,,Gamma-glutamyl phosphate reductase,408,408
bcsZ,,Endoglucanase,408,408
clsA,,Cardiolipin synthase A,408,408
baeR,,Transcriptional regulatory protein BaeR,408,408
kbl,,2-amino-3-ketobutyrate coenzyme A ligase,408,408
miaA,,tRNA dimethylallyltransferase,408,408
pntA,,NAD(P) transhydrogenase subunit alpha,408,408
queA,,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,408,408
ylaC,,Inner membrane protein YlaC,408,408
yciB,,putative intracellular septation protein A,408,408
glmM,,Phosphoglucosamine mutase,408,408
truA,,tRNA pseudouridine synthase A,408,408
htpX,,Protease HtpX,408,408
ubiC,,Chorismate pyruvate-lyase,408,408
yfiC,,tRNA1(Val) (adenine(37)-N6)-methyltransferase,408,408
arnC_4,,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,408,408
ulaB_1,,Ascorbate-specific PTS system EIIB component,408,408
artP,,Arginine transport ATP-binding protein ArtP,408,408
galM,,Aldose 1-epimerase,408,408
arnD,,putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD,408,408
sucA_1,,2-oxoglutarate dehydrogenase E1 component,408,408
rlmN,,Dual-specificity RNA methyltransferase RlmN,408,408
nrdI,,Protein NrdI,408,408
ygfZ,,tRNA-modifying protein YgfZ,408,408
galR,,HTH-type transcriptional regulator GalR,408,408
glpK,,Glycerol kinase,408,408
xapA,,Purine nucleoside phosphorylase 2,408,408
pstS,,Phosphate-binding protein PstS,408,408
rlhA_1,,23S rRNA 5-hydroxycytidine synthase,408,408
group_15941,,hypothetical protein,408,409
yheI,,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI,408,408
ddpC,,"putative D,D-dipeptide transport system permease protein DdpC",408,408
hdfR_1,,HTH-type transcriptional regulator HdfR,408,408
ackA,,Acetate kinase,408,408
fadB,,Fatty acid oxidation complex subunit alpha,408,408
nimT,,2-nitroimidazole transporter,408,408
rraA,,Regulator of ribonuclease activity A,408,408
bamA,,Outer membrane protein assembly factor BamA,408,408
group_15966,,D-arabitol-phosphate dehydrogenase,408,408
msbA_1,,Lipid A export ATP-binding/permease protein MsbA,408,408
arnT,,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,408,408
hycE,,Formate hydrogenlyase subunit 5,408,408
speA,,Biosynthetic arginine decarboxylase,408,408
gltS,,Sodium/glutamate symporter,408,408
folC,,Dihydrofolate synthase/folylpolyglutamate synthase,408,408
sthA,,Soluble pyridine nucleotide transhydrogenase,408,408
ybjO,,Inner membrane protein YbjO,408,408
creD,,Inner membrane protein CreD,408,409
rplX,,50S ribosomal protein L24,408,408
yggS,,Pyridoxal phosphate homeostasis protein,408,408
yiaD,,putative lipoprotein YiaD,408,408
group_15990,,hypothetical protein,408,408
entA,,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",408,408
grxB,,Glutaredoxin 2,408,408
secG,,Protein-export membrane protein SecG,408,408
mlrA,,HTH-type transcriptional regulator MlrA,408,408
gpmA,,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",408,408
uppP,,Undecaprenyl-diphosphatase,408,408
argR_1,,Arginine repressor,408,408
group_16010,,Tagatose kinase,408,408
tehA,,Tellurite resistance protein TehA,408,408
yeeA,,Inner membrane protein YeeA,408,408
nusA,,Transcription termination/antitermination protein NusA,408,408
ftsX,,Cell division protein FtsX,408,408
eutB,,Ethanolamine ammonia-lyase heavy chain,408,408
aroK,,Shikimate kinase 1,408,408
pth,,Peptidyl-tRNA hydrolase,408,408
nfuA,,Fe/S biogenesis protein NfuA,408,408
queC,,7-cyano-7-deazaguanine synthase,408,408
aaeA_1,,p-hydroxybenzoic acid efflux pump subunit AaeA,408,408
ycaC_1,,putative hydrolase YcaC,408,408
rho,,Transcription termination factor Rho,408,408
rpoB,,DNA-directed RNA polymerase subunit beta,408,408
deoB_1,,Phosphopentomutase,408,409
tamA,,Translocation and assembly module subunit TamA,408,408
ybgC,,Acyl-CoA thioester hydrolase YbgC,408,408
nimR_2,,HTH-type transcriptional regulator NimR,408,408
ftsB,,Cell division protein FtsB,408,408
dacA,,D-alanyl-D-alanine carboxypeptidase DacA,408,408
group_16035,,hypothetical protein,408,408
fruB,,Multiphosphoryl transfer protein,408,408
pgpB,,Phosphatidylglycerophosphatase B,408,408
can,,Carbonic anhydrase 2,408,409
clpX,,ATP-dependent Clp protease ATP-binding subunit ClpX,408,408
pheA,,Bifunctional chorismate mutase/prephenate dehydratase,408,408
allD,,Ureidoglycolate dehydrogenase (NAD(+)),408,408
actP,,Cation/acetate symporter ActP,408,408
sucC_2,,Succinate--CoA ligase [ADP-forming] subunit beta,408,408
rplT,,50S ribosomal protein L20,408,408
alaS,,Alanine--tRNA ligase,408,408
cmk,,Cytidylate kinase,408,408
group_16062,,hypothetical protein,408,408
pncA,,Nicotinamidase,408,408
psiE,,Protein PsiE,408,408
yeiP,,Elongation factor P-like protein,408,408
gfcB,,putative lipoprotein GfcB,408,408
asnB,,Asparagine synthetase B [glutamine-hydrolyzing],408,408
ybiV,,Sugar phosphatase YbiV,408,408
galP,,Galactose-proton symporter,408,408
group_16075,,hypothetical protein,408,408
cof,,HMP-PP phosphatase,408,408
cbrA,,Protein CbrA,408,408
nagB_2,,Glucosamine-6-phosphate deaminase,408,408
rnt,,Ribonuclease T,408,408
yfiF,,putative tRNA/rRNA methyltransferase YfiF,408,408
nagC,,N-acetylglucosamine repressor,408,408
yfdX,,Protein YfdX,408,408
thiH,,2-iminoacetate synthase,408,408
oppC,,Oligopeptide transport system permease protein OppC,408,408
rsmD,,Ribosomal RNA small subunit methyltransferase D,408,408
emrD,,Multidrug resistance protein D,408,408
gpsA,,Glycerol-3-phosphate dehydrogenase [NAD(P)+],408,408
sodA,,Superoxide dismutase [Mn],408,408
nuoG,,NADH-quinone oxidoreductase subunit G,408,408
decR,,DNA-binding transcriptional activator DecR,408,408
fliJ,,Flagellar FliJ protein,408,408
ccdB,,Toxin CcdB,408,409
nuoE,,NADH-quinone oxidoreductase subunit E,408,408
acnA,,Aconitate hydratase A,408,408
engB,,putative GTP-binding protein EngB,408,408
mtlA_2,,PTS system mannitol-specific EIICBA component,408,408
dxs,,1-deoxy-D-xylulose-5-phosphate synthase,408,408
mexB,,Multidrug resistance protein MexB,408,408
dapA_1,,4-hydroxy-tetrahydrodipicolinate synthase,408,408
artJ,,ABC transporter arginine-binding protein 1,408,408
flgE,,Flagellar hook protein FlgE,408,408
prmB,,50S ribosomal protein L3 glutamine methyltransferase,408,408
sufC,,putative ATP-dependent transporter SufC,408,408
dinB,,DNA polymerase IV,408,408
rsmB,,Ribosomal RNA small subunit methyltransferase B,408,408
ybhK,,Putative gluconeogenesis factor,408,408
nikC,,Nickel transport system permease protein NikC,408,408
purR,,HTH-type transcriptional repressor PurR,408,408
hdfR_3,,HTH-type transcriptional regulator HdfR,408,408
mak_1,,Fructokinase,408,408
dgcZ,,Diguanylate cyclase DgcZ,408,408
group_16135,,hypothetical protein,408,408
potA_3,,Spermidine/putrescine import ATP-binding protein PotA,408,408
group_16137,,hypothetical protein,408,408
panC,,Pantothenate synthetase,408,409
yiaO,,"2,3-diketo-L-gulonate-binding periplasmic protein YiaO",408,408
yiaA,,Inner membrane protein YiaA,408,408
sorB_1,,PTS system sorbose-specific EIIB component,408,408
thiK,,Thiamine kinase,408,408
group_16148,,hypothetical protein,408,409
metR,,HTH-type transcriptional regulator MetR,408,408
marR,,Multiple antibiotic resistance protein MarR,408,408
moeB,,Molybdopterin-synthase adenylyltransferase,408,408
dapB,,4-hydroxy-tetrahydrodipicolinate reductase,408,409
rppH,,RNA pyrophosphohydrolase,408,408
tktA_1,,Transketolase 1,408,408
gsk,,Inosine-guanosine kinase,408,408
mltG,,Endolytic murein transglycosylase,408,408
adk,,Adenylate kinase,408,408
bioF,,8-amino-7-oxononanoate synthase,408,408
yebT,,Intermembrane transport protein YebT,408,408
serA,,D-3-phosphoglycerate dehydrogenase,408,408
sapB_1,,Putrescine export system permease protein SapB,408,408
rbsC_2,,Ribose import permease protein RbsC,408,408
atpA,,ATP synthase subunit alpha,408,408
chaA,,Sodium-potassium/proton antiporter ChaA,408,408
